campaign_id,branch_type,region,season,occasion,cake_type,promotion_type,discount_percent,social_media_spend,influencer_support,customization_available,personalized_bundle,day_of_week,campaign_duration_days,estimated_foot_traffic,website_visits,branch_capacity,base_price,actual_orders,actual_revenue,gross_margin_percent,campaign_cost,actual_profit,actual_roi,success_label
CMP-00001,Hospital,Bangkok,Christmas,Birthday,Cheesecake,Bundle,20,31480,0,1,1,Weekend,4,6539,4523,331,1001,186,180228.05,51.38,61037.8,31554.96,0.517,0
CMP-00002,Mall,Central,Normal,Family Celebration,Vanilla,Social Challenge,30,74125,1,1,0,Weekend,11,10658,20773,706,798,1106,673414.64,43.71,137151.08,157166.18,1.146,0
CMP-00003,Mall,Bangkok,New Year,Self Reward,Cheesecake,Free Add-on,15,26604,0,1,1,Weekend,11,13134,5448,578,915,708,666282.87,51.27,59163.03,282436.31,4.774,1
CMP-00004,CBD / Office,Bangkok,Mother's Day,Birthday,Red Velvet,Free Add-on,10,24199,0,1,1,Weekend,12,10009,4556,388,973,505,535096.48,53.2,64816.55,219828.87,3.392,1
CMP-00005,University Area,North,Normal,Self Reward,Fruit Cake,Bundle,15,14493,0,1,0,Weekend,12,6749,3191,357,936,259,224605.84,52.05,48068.25,68835.35,1.432,0
CMP-00006,Neighborhood,Bangkok,Normal,Office Celebration,Chocolate,Bundle,25,37410,0,1,0,Weekday,10,6543,5738,282,750,343,210301.88,38.86,65943.88,15770.58,0.239,0
CMP-00007,Hospital,South,Normal,Friend Group,Red Velvet,Limited Edition,10,12396,0,0,0,Weekend,4,2787,3516,374,916,101,86594.98,55.69,28582.02,19644.52,0.687,0
CMP-00008,Mall,Bangkok,Back to School,Couple Gift,Fruit Cake,Discount,25,26931,0,1,0,Weekend,11,15566,5154,540,1040,703,597690.6,47.64,51916.88,232835.85,4.485,1
CMP-00009,Hospital,South,Graduation,Family Celebration,Vanilla,Creator Collaboration,5,56654,0,1,0,Weekday,3,3607,10621,251,737,103,78605.84,59.96,68712.62,-21578.66,-0.314,0
CMP-00010,Neighborhood,Central,Normal,Self Reward,Chocolate,Social Challenge,15,31533,0,0,0,Weekend,8,4356,7514,477,782,276,183457.2,45.8,50691.52,33339.45,0.658,0
CMP-00011,Transit,Northeast,Normal,Seasonal Gift,Chocolate,Free Add-on,20,20189,0,1,0,Weekday,10,4900,2713,248,853,176,130911.62,54.76,59189.12,12494.45,0.211,0
CMP-00012,Mall,Bangkok,Normal,Couple Gift,Vanilla,Personalized Box,0,38839,0,1,1,Weekday,9,11302,6846,453,778,475,447155.5,58.84,80721.94,182366.92,2.259,1
CMP-00013,Neighborhood,Bangkok,Mother's Day,Couple Gift,Vanilla,Discount,10,65713,1,1,0,Weekday,4,5701,11831,361,790,198,153448.02,61.55,110307.07,-15863.33,-0.144,0
CMP-00014,Transit,Bangkok,Mother's Day,Family Celebration,Fruit Cake,Creator Collaboration,5,52200,0,1,0,Weekday,4,10932,12739,410,834,223,192584.36,52.43,64895.33,36076.4,0.556,0
CMP-00015,Neighborhood,Northeast,New Year,Family Celebration,Red Velvet,Bundle,5,46898,1,1,0,Weekend,10,5965,7050,498,969,582,583978.51,54.76,103045.28,216762.66,2.104,1
CMP-00016,Neighborhood,South,New Year,Office Celebration,Red Velvet,Discount,20,25726,0,1,0,Weekend,7,4292,4138,274,867,242,182957.81,46.63,40183.89,45122.73,1.123,0
CMP-00017,University Area,Bangkok,Christmas,Birthday,Chocolate,Personalized Box,20,38305,1,0,1,Weekend,14,9326,6382,508,878,611,480666.37,40.43,118672.85,75666.47,0.638,0
CMP-00018,University Area,Northeast,Mother's Day,Self Reward,Matcha,Free Add-on,5,18271,0,0,0,Weekday,3,5005,3813,495,907,145,124939.25,48.57,24917.52,35762.42,1.435,1
CMP-00019,Mall,South,Graduation,Family Celebration,Matcha,Bundle,5,21901,0,1,1,Weekday,10,11308,5126,613,884,530,538563.74,57.57,65250.21,244805.55,3.752,1
CMP-00020,CBD / Office,Bangkok,Songkran,Office Celebration,Strawberry,Creator Collaboration,15,59891,1,0,0,Weekday,3,11424,14263,584,1071,245,223035.75,50.75,109943.59,3255.66,0.03,0
CMP-00021,Hospital,Bangkok,Christmas,Friend Group,Red Velvet,Discount,25,5000,1,1,0,Weekday,4,4637,2209,174,929,89,67591.72,41.69,62498.82,-34320.69,-0.549,0
CMP-00022,Transit,North,Valentine,Seasonal Gift,Cheesecake,Limited Edition,15,45957,1,1,0,Weekday,3,8728,8465,313,949,123,112473.47,53.11,80411.31,-20674.37,-0.257,0
CMP-00023,Mall,Bangkok,Graduation,Seasonal Gift,Cheesecake,Social Challenge,10,53309,0,0,0,Weekday,8,12258,15212,566,960,602,520128.0,60.66,84034.27,231464.09,2.754,1
CMP-00024,Neighborhood,Central,Normal,Birthday,Strawberry,Creator Collaboration,5,60222,1,1,1,Weekend,14,3421,16545,433,788,801,725550.61,62.86,165852.69,290249.01,1.75,1
CMP-00025,Hospital,Northeast,Normal,Family Celebration,Matcha,Social Challenge,20,21502,0,0,0,Weekday,8,1636,5140,300,896,179,128307.2,40.01,46566.86,4772.28,0.102,0
CMP-00026,University Area,Northeast,Normal,Birthday,Strawberry,Creator Collaboration,20,65218,0,0,0,Weekday,3,5361,11440,275,846,107,72417.6,50.12,72329.14,-36033.36,-0.498,0
CMP-00027,CBD / Office,Northeast,Normal,Office Celebration,Cheesecake,Free Add-on,25,35892,1,1,0,Weekday,7,8143,6104,589,951,332,258110.91,46.69,76754.86,43764.64,0.57,0
CMP-00028,Mall,Bangkok,Mother's Day,Seasonal Gift,Strawberry,Free Add-on,20,5000,0,1,0,Weekend,8,12890,1257,559,797,446,309962.86,53.96,34605.91,132653.57,3.833,0
CMP-00029,Neighborhood,Central,Back to School,Office Celebration,Cheesecake,Bundle,20,45973,1,0,1,Weekend,12,4984,7526,329,777,518,360627.46,45.06,101970.91,60540.9,0.594,0
CMP-00030,CBD / Office,Bangkok,Mother's Day,Family Celebration,Vanilla,Creator Collaboration,10,69217,1,1,0,Weekday,6,8587,19983,360,838,285,234292.23,43.44,108485.92,-6717.15,-0.062,0
CMP-00031,Mall,Central,New Year,Couple Gift,Vanilla,Personalized Box,25,16370,1,1,1,Weekday,3,13274,3211,475,885,201,161430.64,52.17,63286.48,20937.28,0.331,0
CMP-00032,Neighborhood,South,Valentine,Self Reward,Matcha,Bundle,15,26701,1,0,1,Weekend,6,4996,7497,481,975,391,362926.2,52.3,76803.98,113000.83,1.471,1
CMP-00033,Neighborhood,South,Normal,Seasonal Gift,Chocolate,Free Add-on,5,32179,0,0,0,Weekday,14,3262,5624,291,889,250,211137.5,58.02,75977.97,46516.63,0.612,0
CMP-00034,Transit,North,Songkran,Couple Gift,Matcha,Social Challenge,15,65271,1,0,0,Weekday,14,6469,19740,202,980,373,310709.0,44.52,143166.31,-4836.67,-0.034,0
CMP-00035,Transit,North,New Year,Seasonal Gift,Red Velvet,Free Add-on,25,52059,0,1,1,Weekend,4,7038,7187,185,1202,96,104718.24,53.68,71715.77,-15502.2,-0.216,0
CMP-00036,CBD / Office,Bangkok,Normal,Friend Group,Vanilla,Limited Edition,30,17488,0,1,0,Weekday,11,8875,3333,641,689,265,144884.85,49.96,43952.32,28431.1,0.647,0
CMP-00037,Hospital,Northeast,Christmas,Birthday,Fruit Cake,Personalized Box,0,35658,1,1,1,Weekend,14,3058,5992,323,872,443,467418.16,54.72,128239.41,127529.79,0.994,0
CMP-00038,Mall,South,Normal,Couple Gift,Fruit Cake,Social Challenge,25,75287,1,0,0,Weekday,4,12677,15727,486,859,275,177168.75,46.79,117837.76,-34946.67,-0.297,0
CMP-00039,Neighborhood,Bangkok,Normal,Couple Gift,Fruit Cake,Discount,5,31852,0,1,0,Weekend,8,7288,4499,346,943,153,149400.9,42.26,49187.24,13953.05,0.284,0
CMP-00040,CBD / Office,Bangkok,Valentine,Birthday,Matcha,Personalized Box,20,34746,1,0,1,Weekend,10,10287,5177,564,872,589,460192.77,50.4,112566.4,119389.39,1.061,0
CMP-00041,Neighborhood,Central,Back to School,Family Celebration,Strawberry,Free Add-on,25,63325,1,0,0,Weekend,5,4676,12927,317,882,221,146191.5,47.84,118033.77,-48099.79,-0.408,0
CMP-00042,CBD / Office,Bangkok,Graduation,Couple Gift,Chocolate,Social Challenge,20,25663,0,1,0,Weekend,4,9261,5708,423,863,246,185123.86,51.73,39596.35,56167.18,1.418,1
CMP-00043,Neighborhood,Bangkok,Mother's Day,Birthday,Strawberry,Social Challenge,20,49592,1,0,0,Weekday,14,7016,12385,341,836,696,465484.8,44.13,146742.74,58692.33,0.4,0
CMP-00044,Hospital,Northeast,Graduation,Office Celebration,Red Velvet,Personalized Box,10,23035,0,1,1,Weekend,5,2946,5648,223,974,134,142131.92,54.21,41885.73,35169.69,0.84,0
CMP-00045,CBD / Office,Central,Back to School,Friend Group,Fruit Cake,Personalized Box,20,14462,0,0,0,Weekday,3,8820,3416,395,874,142,99286.4,53.52,22153.95,30982.46,1.399,1
CMP-00046,CBD / Office,Bangkok,Mother's Day,Self Reward,Strawberry,Limited Edition,20,25263,0,1,0,Weekend,12,10752,4163,616,820,576,428337.56,52.23,47866.34,175839.07,3.674,0
CMP-00047,Hospital,Bangkok,Normal,Birthday,Fruit Cake,Bundle,20,57902,1,0,0,Weekday,12,5078,8463,204,921,293,215882.4,51.11,125591.16,-15263.45,-0.122,0
CMP-00048,University Area,Bangkok,Mother's Day,Couple Gift,Red Velvet,Creator Collaboration,30,28226,0,1,1,Weekend,7,6979,7692,495,954,458,370081.4,42.93,67825.01,91045.69,1.342,1
CMP-00049,Neighborhood,Bangkok,Normal,Birthday,Red Velvet,Bundle,20,71546,1,1,1,Weekday,6,5952,15476,456,1115,337,363730.84,60.42,115196.02,104578.09,0.908,0
CMP-00050,CBD / Office,Bangkok,Normal,Office Celebration,Fruit Cake,Bundle,0,5000,0,1,0,Weekday,6,7172,1028,425,1012,114,125751.12,57.0,16436.12,55242.07,3.361,0
CMP-00051,CBD / Office,South,Songkran,Seasonal Gift,Matcha,Creator Collaboration,15,77650,1,0,0,Weekend,5,9201,22157,487,997,318,269489.1,47.36,139012.59,-11380.92,-0.082,0
CMP-00052,CBD / Office,Bangkok,Songkran,Friend Group,Red Velvet,Limited Edition,10,16845,0,1,1,Weekday,10,11654,2743,413,1026,411,477584.7,58.03,59503.64,217620.23,3.657,1
CMP-00053,Neighborhood,Bangkok,Normal,Seasonal Gift,Cheesecake,Creator Collaboration,20,74056,0,0,0,Weekday,9,6105,12398,398,912,480,350208.0,38.42,108737.87,25807.17,0.237,0
CMP-00054,Neighborhood,Northeast,Valentine,Birthday,Chocolate,Limited Edition,15,13198,0,0,0,Weekday,12,5621,3194,275,805,366,260452.92,51.44,54045.93,79936.78,1.479,1
CMP-00055,Neighborhood,Bangkok,Graduation,Seasonal Gift,Red Velvet,Creator Collaboration,5,84079,1,1,0,Weekday,5,6745,26127,302,1009,202,211053.54,57.43,135531.48,-14333.01,-0.106,0
CMP-00056,CBD / Office,South,Normal,Friend Group,Fruit Cake,Social Challenge,0,56660,0,1,0,Weekday,13,7968,11929,653,946,948,977520.72,52.13,105956.6,403610.82,3.809,1
CMP-00057,Hospital,South,Normal,Seasonal Gift,Matcha,Limited Edition,25,43980,0,0,0,Weekday,9,4164,6846,221,832,235,152505.6,52.9,81255.9,-583.07,-0.007,0
CMP-00058,Neighborhood,South,Back to School,Birthday,Vanilla,Free Add-on,0,69836,1,0,0,Weekday,3,4343,18573,424,700,166,116200.0,65.03,108243.31,-32676.44,-0.302,0
CMP-00059,Mall,Bangkok,Mother's Day,Couple Gift,Cheesecake,Bundle,20,20182,1,0,1,Weekday,8,13461,4608,715,893,647,517682.82,51.02,85312.1,178823.46,2.096,1
CMP-00060,Neighborhood,South,Graduation,Self Reward,Chocolate,Social Challenge,20,44137,1,0,0,Weekend,12,6139,13313,324,822,511,336033.6,42.21,106144.36,35699.56,0.336,0
CMP-00061,Neighborhood,North,Christmas,Self Reward,Vanilla,Free Add-on,5,49183,1,1,0,Weekend,4,3731,8685,443,716,238,176457.48,55.35,80750.07,16915.47,0.209,0
CMP-00062,Transit,Northeast,Graduation,Family Celebration,Matcha,Bundle,5,32770,0,0,1,Weekday,5,6776,4774,255,894,169,160755.5,51.43,65891.12,16790.35,0.255,0
CMP-00063,University Area,South,New Year,Friend Group,Red Velvet,Social Challenge,15,63550,1,0,0,Weekday,3,5332,24553,294,961,114,93120.9,53.53,108866.88,-59019.59,-0.542,0
CMP-00064,Neighborhood,Bangkok,Normal,Couple Gift,Vanilla,Social Challenge,10,44238,0,0,1,Weekend,3,5626,9907,303,715,114,82162.08,47.66,65217.76,-26055.72,-0.4,0
CMP-00065,Hospital,Bangkok,Christmas,Self Reward,Vanilla,Personalized Box,30,9204,1,1,1,Weekday,3,2966,2185,190,662,78,43735.69,41.76,70177.5,-51915.6,-0.74,0
CMP-00066,University Area,Bangkok,New Year,Birthday,Matcha,Creator Collaboration,5,55749,1,0,0,Weekday,4,8634,13149,516,917,296,257860.4,66.0,83381.56,86806.3,1.041,0
CMP-00067,Hospital,Bangkok,Christmas,Office Celebration,Matcha,Bundle,0,5000,0,1,0,Weekday,13,6483,1565,186,777,189,160069.77,59.46,35836.16,59347.28,1.656,1
CMP-00068,Neighborhood,Central,Valentine,Self Reward,Matcha,Creator Collaboration,20,80191,0,0,1,Weekday,13,5471,20814,367,963,620,534965.76,46.27,137997.97,109514.88,0.794,0
CMP-00069,University Area,South,Normal,Couple Gift,Matcha,Bundle,20,34243,0,1,1,Weekday,7,5748,4686,418,941,277,252315.98,49.19,74233.99,49888.69,0.672,0
CMP-00070,Mall,Central,New Year,Self Reward,Vanilla,Social Challenge,30,58398,0,0,0,Weekday,5,12067,15043,754,804,556,312916.8,43.99,71383.96,66270.46,0.928,0
CMP-00071,Mall,Bangkok,Normal,Friend Group,Chocolate,Discount,5,5000,0,0,0,Weekday,14,13291,981,433,806,260,199082.0,49.56,58493.56,40173.68,0.687,0
CMP-00072,Transit,Northeast,Normal,Seasonal Gift,Matcha,Bundle,20,7508,0,1,1,Weekday,6,9635,1590,313,835,140,113159.2,46.84,31919.72,21087.22,0.661,0
CMP-00073,Transit,Bangkok,Christmas,Family Celebration,Red Velvet,Discount,15,25527,0,0,0,Weekday,12,10019,5153,324,1064,427,386178.8,54.74,49868.4,161530.76,3.239,1
CMP-00074,Neighborhood,Northeast,New Year,Office Celebration,Chocolate,Bundle,30,49629,1,0,1,Weekday,9,2078,10411,326,683,370,198124.64,37.02,118916.81,-45575.53,-0.383,0
CMP-00075,University Area,Central,Mother's Day,Self Reward,Fruit Cake,Limited Edition,15,24918,0,1,0,Weekday,14,8111,5061,549,926,707,630825.39,52.94,61228.75,272718.43,4.454,1
CMP-00076,Mall,Northeast,Graduation,Birthday,Vanilla,Discount,0,21301,0,1,0,Weekday,12,9220,2892,741,805,406,356244.7,52.32,43218.28,143166.28,3.313,0
CMP-00077,University Area,Central,Normal,Seasonal Gift,Vanilla,Social Challenge,15,64753,0,0,0,Weekend,10,8082,10453,331,778,468,309488.4,44.96,85220.14,53938.17,0.633,0
CMP-00078,Neighborhood,Bangkok,Normal,Seasonal Gift,Vanilla,Personalized Box,5,24517,0,0,1,Weekday,8,4626,4967,389,705,169,126770.28,56.94,60892.48,11295.83,0.186,0
CMP-00079,Neighborhood,Bangkok,New Year,Office Celebration,Chocolate,Personalized Box,15,17542,0,1,0,Weekend,11,3901,2772,246,932,260,224509.48,51.8,61806.1,54490.2,0.882,0
